OBJECTID,Shape,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,SOURCE_REPORTING_UNIT,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_PLUS_INCIDENT_JOIN_ID,ICS_209_PLUS_COMPLEX_JOIN_ID,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,NWCG_CAUSE_CLASSIFICATION,NWCG_GENERAL_CAUSE,NWCG_CAUSE_AGE_CATEGORY,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME
46945,"b'\x00\x01\xad\x10\x00\x00\x08\xf0\xd6,\xc9\xf7]\xc0\xe0c\xf6m\x99IC@\x08\xf0\xd6,\xc9\xf7]\xc0\xe0c\xf6m\x99IC@|\x01\x00\x00\x00\x08\xf0\xd6,\xc9\xf7]\xc0\xe0c\xf6m\x99IC@\xfe'",47259,FS-265290,FED,FS-FIRESTAT,FS,USCAENF,0503,123,,,,,,,,,1992,9/18/1992,262,700.0,Natural,Natural,,9/19/1992,263.0,1500.0,0.1,A,38.575,-119.87166667,USFS,CA,,,
46946,b'\x00\x01\xad\x10\x00\x00X\xe5\xac\xc9\xff\x07^\xc0X\x19\x05\xaf@GC@X\xe5\xac\xc9\xff\x07^\xc0X\x19\x05\xaf@GC@|\x01\x00\x00\x00X\xe5\xac\xc9\xff\x07^\xc0X\x19\x05\xaf@GC@\xfe',47260,FS-265291,FED,FS-FIRESTAT,FS,USCAENF,0503,136,,,,,,,,,1992,10/3/1992,277,800.0,Natural,Natural,,10/3/1992,277.0,1340.0,0.1,A,38.55666667,-120.125,USFS,CA,,,
46947,b'\x00\x01\xad\x10\x00\x00\xac\xc0\x97\x8f\x92\x07^\xc0\xa8m\xa9A\xa0SC@\xac\xc0\x97\x8f\x92\x07^\xc0\xa8m\xa9A\xa0SC@|\x01\x00\x00\x00\xac\xc0\x97\x8f\x92\x07^\xc0\xa8m\xa9A\xa0SC@\xfe',47261,FS-265292,FED,FS-FIRESTAT,FS,USCAENF,0503,142,,,,,,,,,1992,10/10/1992,284,900.0,Human,Recreation and ceremony,,10/10/1992,284.0,1500.0,0.1,A,38.65333333,-120.11833333,USFS,CA,,,
46948,"b'\x00\x01\xad\x10\x00\x00 @\xa1,\xc9\x07^\xc0\x00\x00\xb4\xde\xd6SC@ @\xa1,\xc9\x07^\xc0\x00\x00\xb4\xde\xd6SC@|\x01\x00\x00\x00 @\xa1,\xc9\x07^\xc0\x00\x00\xb4\xde\xd6SC@\xfe'",47262,FS-265293,FED,FS-FIRESTAT,FS,USCAENF,0503,145,,,,,,,,,1992,10/17/1992,291,1700.0,Human,Recreation and ceremony,,10/17/1992,291.0,2015.0,0.1,A,38.655,-120.12166667,USFS,CA,,,
46949,b'\x00\x01\xad\x10\x00\x00\xa8\x91\xa2=\xda\x10^\xc0\xa0\xe8\xf5R\xb1DC@\xa8\x91\xa2=\xda\x10^\xc0\xa0\xe8\xf5R\xb1DC@|\x01\x00\x00\x00\xa8\x91\xa2=\xda\x10^\xc0\xa0\xe8\xf5R\xb1DC@\xfe',47263,FS-265294,FED,FS-FIRESTAT,FS,USCAENF,0503,148,,,,,,,,,1992,10/25/1992,299,1130.0,Natural,Natural,,10/25/1992,299.0,1400.0,0.2,A,38.53666667,-120.26333333,USFS,CA,,,
46950,b'\x00\x01\xad\x10\x00\x00H\x10s\x1eU%^\xc0HK\xa6\xf6!\x82C@H\x10s\x1eU%^\xc0HK\xa6\xf6!\x82C@|\x01\x00\x00\x00H\x10s\x1eU%^\xc0HK\xa6\xf6!\x82C@\xfe',47264,FS-265297,FED,FS-FIRESTAT,FS,USCAENF,0503,3,,,TANNER,,,,,,1992,5/2/1992,123,1130.0,Human,Debris and open burning,,5/2/1992,123.0,1400.0,1.0,B,39.01666667,-120.58333333,USFS,CA,,,
46951,"b'\x00\x01\xad\x10\x00\x00\x1ctH\xeb!""^\xc0\x00\xda\x9f\xf6!\x82C@\x1ctH\xeb!""^\xc0\x00\xda\x9f\xf6!\x82C@|\x01\x00\x00\x00\x1ctH\xeb!""^\xc0\x00\xda\x9f\xf6!\x82C@\xfe'",47265,FS-265299,FED,FS-FIRESTAT,FS,USCAENF,0503,4,,,,,,,,,1992,5/4/1992,125,1000.0,Human,Debris and open burning,,5/4/1992,125.0,1300.0,1.0,B,39.01666667,-120.53333333,USFS,CA,,,
46952,b'\x00\x01\xad\x10\x00\x00\x80U\xccs\xaa*^\xc0(`\x0bLwwC@\x80U\xccs\xaa*^\xc0(`\x0bLwwC@|\x01\x00\x00\x00\x80U\xccs\xaa*^\xc0(`\x0bLwwC@\xfe',47266,FS-265306,FED,FS-FIRESTAT,FS,USCAENF,0503,23,,,,,,,,,1992,6/9/1992,161,1200.0,Human,Missing data/not specified/undetermined,,6/9/1992,161.0,1300.0,0.1,A,38.93333333,-120.66666667,STATE OR PRIVATE,CA,,,
46953,b'\x00\x01\xad\x10\x00\x00\xa8\xd5\x0b\xc9\xff/^\xc0x\x8cf\x90\xbb{C@\xa8\xd5\x0b\xc9\xff/^\xc0x\x8cf\x90\xbb{C@|\x01\x00\x00\x00\xa8\xd5\x0b\xc9\xff/^\xc0x\x8cf\x90\xbb{C@\xfe',47267,FS-265307,FED,FS-FIRESTAT,FS,USCAENF,0503,27,,,KENTUCKY,,,,,,1992,6/20/1992,172,1615.0,Human,Debris and open burning,,6/20/1992,172.0,1700.0,0.1,A,38.96666667,-120.75,USFS,CA,,,
46954,"b""\x00\x01\xad\x10\x00\x00\x14\xdf\xa3@w'^\xc0\x88C\xf3)UuC@\x14\xdf\xa3@w'^\xc0\x88C\xf3)UuC@|\x01\x00\x00\x00\x14\xdf\xa3@w'^\xc0\x88C\xf3)UuC@\xfe""",47268,FS-265310,FED,FS-FIRESTAT,FS,USCAENF,0503,35,,,,,,,,,1992,6/24/1992,176,1645.0,Natural,Natural,,6/24/1992,176.0,2130.0,0.1,A,38.91666667,-120.61666667,STATE OR PRIVATE,CA,,,
46955,"b'\x00\x01\xad\x10\x00\x00\x8c\x00_\xeb!""^\xc0\xc0la\xa1\xcclC@\x8c\x00_\xeb!""^\xc0\xc0la\xa1\xcclC@|\x01\x00\x00\x00\x8c\x00_\xeb!""^\xc0\xc0la\xa1\xcclC@\xfe'",47269,FS-265311,FED,FS-FIRESTAT,FS,USCAENF,0503,36,,,,,,,,,1992,6/24/1992,176,1700.0,Natural,Natural,,6/24/1992,176.0,2359.0,0.1,A,38.85,-120.53333333,USFS,CA,,,
46956,"b'\x00\x01\xad\x10\x00\x00,+\xd5\x84\xbb+^\xc0P\x00\xfe)UuC@,+\xd5\x84\xbb+^\xc0P\x00\xfe)UuC@|\x01\x00\x00\x00,+\xd5\x84\xbb+^\xc0P\x00\xfe)UuC@\xfe'",47270,FS-265315,FED,FS-FIRESTAT,FS,USCAENF,0503,44,,,,,,,,,1992,6/24/1992,176,1730.0,Natural,Natural,,6/24/1992,176.0,2030.0,0.1,A,38.91666667,-120.68333333,STATE OR PRIVATE,CA,,,
46957,b'\x00\x01\xad\x10\x00\x00\xe4:\x18\xa7\xdd\x1d^\xc0X\xf8m\xd4\xff\x7fC@\xe4:\x18\xa7\xdd\x1d^\xc0X\xf8m\xd4\xff\x7fC@|\x01\x00\x00\x00\xe4:\x18\xa7\xdd\x1d^\xc0X\xf8m\xd4\xff\x7fC@\xfe',47271,FS-265316,FED,FS-FIRESTAT,FS,USCAENF,0503,46,,,,,,,,,1992,6/24/1992,176,1700.0,Natural,Natural,,6/24/1992,176.0,2000.0,0.2,A,39.0,-120.46666667,USFS,CA,,,
46958,"b'\x00\x01\xad\x10\x00\x00@\xf6\xeb\x95\xcc,^\xc0\x08\x02\xb4\xe5\x10qC@@\xf6\xeb\x95\xcc,^\xc0\x08\x02\xb4\xe5\x10qC@|\x01\x00\x00\x00@\xf6\xeb\x95\xcc,^\xc0\x08\x02\xb4\xe5\x10qC@\xfe'",47272,FS-265318,FED,FS-FIRESTAT,FS,USCAENF,0503,49,,,,,,,,,1992,6/25/1992,177,800.0,Natural,Natural,,6/25/1992,177.0,1130.0,0.1,A,38.88333333,-120.7,USFS,CA,,,
46959,"b""\x00\x01\xad\x10\x00\x00\xf4b\xfd\xa6\xdd-^\xc0\xd0'\xb6\xe5\x10qC@\xf4b\xfd\xa6\xdd-^\xc0\xd0'\xb6\xe5\x10qC@|\x01\x00\x00\x00\xf4b\xfd\xa6\xdd-^\xc0\xd0'\xb6\xe5\x10qC@\xfe""",47273,FS-265319,FED,FS-FIRESTAT,FS,USCAENF,0503,50,,,,,,,,,1992,6/25/1992,177,730.0,Natural,Natural,,6/25/1992,177.0,1600.0,5.0,B,38.88333333,-120.71666667,USFS,CA,,,
46960,"b'\x00\x01\xad\x10\x00\x00\x04\x1c\xee\x95\xcc,^\xc0\xb0V\xa2\xc3\xeenC@\x04\x1c\xee\x95\xcc,^\xc0\xb0V\xa2\xc3\xeenC@|\x01\x00\x00\x00\x04\x1c\xee\x95\xcc,^\xc0\xb0V\xa2\xc3\xeenC@\xfe'",47274,FS-265320,FED,FS-FIRESTAT,FS,USCAENF,0503,51,,,,,,,,,1992,6/25/1992,177,730.0,Natural,Natural,,6/25/1992,177.0,2000.0,4.0,B,38.86666667,-120.7,USFS,CA,,,
46961,"b""\x00\x01\xad\x10\x00\x00XP\xaa@w'^\xc0(t\x95\xc3\xeenC@XP\xaa@w'^\xc0(t\x95\xc3\xeenC@|\x01\x00\x00\x00XP\xaa@w'^\xc0(t\x95\xc3\xeenC@\xfe""",47275,FS-265321,FED,FS-FIRESTAT,FS,USCAENF,0503,52,,,,,,,,,1992,6/25/1992,177,1730.0,Natural,Natural,,6/25/1992,177.0,1900.0,0.1,A,38.86666667,-120.61666667,STATE OR PRIVATE,CA,,,
46962,b'\x00\x01\xad\x10\x00\x00\xbc%\x05\xb8\xee.^\xc0\x90M\xb8\xe5\x10qC@\xbc%\x05\xb8\xee.^\xc0\x90M\xb8\xe5\x10qC@|\x01\x00\x00\x00\xbc%\x05\xb8\xee.^\xc0\x90M\xb8\xe5\x10qC@\xfe',47276,FS-265322,FED,FS-FIRESTAT,FS,USCAENF,0503,53,,,,,,,,,1992,6/25/1992,177,1310.0,Natural,Natural,,6/25/1992,177.0,1530.0,1.0,B,38.88333333,-120.73333333,USFS,CA,,,
46963,b'\x00\x01\xad\x10\x00\x00\x04\x18&\xeb!2^\xc0\xd8\xd8En\x99yC@\x04\x18&\xeb!2^\xc0\xd8\xd8En\x99yC@|\x01\x00\x00\x00\x04\x18&\xeb!2^\xc0\xd8\xd8En\x99yC@\xfe',47277,FS-265323,FED,FS-FIRESTAT,FS,USCAENF,0503,65,,,RED BUD,,,,,,1992,7/24/1992,206,1420.0,Human,Smoking,,7/24/1992,206.0,1530.0,0.1,A,38.95,-120.78333333,STATE OR PRIVATE,CA,,,
46964,b'\x00\x01\xad\x10\x00\x00\xf0\xdd\x1a\xc9\xff/^\xc0\x98\xee\x85\xa1\xcclC@\xf0\xdd\x1a\xc9\xff/^\xc0\x98\xee\x85\xa1\xcclC@|\x01\x00\x00\x00\xf0\xdd\x1a\xc9\xff/^\xc0\x98\xee\x85\xa1\xcclC@\xfe',47278,FS-265324,FED,FS-FIRESTAT,FS,USCAENF,0503,68,,,,,,,,,1992,7/30/1992,212,1535.0,Human,Equipment and vehicle use,,7/30/1992,212.0,1615.0,0.1,A,38.85,-120.75,USFS,CA,,,
46965,"b'\x00\x01\xad\x10\x00\x00\xc0\xaa\xe7\x95\xcc,^\xc0\x18&\x00*UuC@\xc0\xaa\xe7\x95\xcc,^\xc0\x18&\x00*UuC@|\x01\x00\x00\x00\xc0\xaa\xe7\x95\xcc,^\xc0\x18&\x00*UuC@\xfe'",47279,FS-265327,FED,FS-FIRESTAT,FS,USCAENF,0503,77,,,,,,,,,1992,8/12/1992,225,630.0,Natural,Natural,,8/12/1992,225.0,830.0,0.5,B,38.91666667,-120.7,STATE OR PRIVATE,CA,,,
46966,b'\x00\x01\xad\x10\x00\x00XB\x1d\xda\x101^\xc0@\xb2h\x90\xbb{C@XB\x1d\xda\x101^\xc0@\xb2h\x90\xbb{C@|\x01\x00\x00\x00XB\x1d\xda\x101^\xc0@\xb2h\x90\xbb{C@\xfe',47280,FS-265328,FED,FS-FIRESTAT,FS,USCAENF,0503,78,,,,,,,,,1992,8/12/1992,225,600.0,Natural,Natural,,8/12/1992,225.0,900.0,0.8,B,38.96666667,-120.76666667,USFS,CA,,,
46967,"b'\x00\x01\xad\x10\x00\x00\xc0\xaa\xe7\x95\xcc,^\xc0\x18&\x00*UuC@\xc0\xaa\xe7\x95\xcc,^\xc0\x18&\x00*UuC@|\x01\x00\x00\x00\xc0\xaa\xe7\x95\xcc,^\xc0\x18&\x00*UuC@\xfe'",47281,FS-265329,FED,FS-FIRESTAT,FS,USCAENF,0503,79,,,,,,,,,1992,8/12/1992,225,630.0,Natural,Natural,,8/12/1992,225.0,1130.0,2.0,B,38.91666667,-120.7,STATE OR PRIVATE,CA,,,
46968,b'\x00\x01\xad\x10\x00\x000=\xfb\xa6\xdd-^\xc0\xb0L\xdd\x073sC@0=\xfb\xa6\xdd-^\xc0\xb0L\xdd\x073sC@|\x01\x00\x00\x000=\xfb\xa6\xdd-^\xc0\xb0L\xdd\x073sC@\xfe',47282,FS-265330,FED,FS-FIRESTAT,FS,USCAENF,0503,80,,,,,,,,,1992,8/12/1992,225,1705.0,Natural,Natural,,8/12/1992,225.0,1805.0,0.1,A,38.9,-120.71666667,USFS,CA,,,
46969,b'\x00\x01\xad\x10\x00\x00$\x98\x94/f&^\xc0\xe8\xf8\xc9\x073sC@$\x98\x94/f&^\xc0\xe8\xf8\xc9\x073sC@|\x01\x00\x00\x00$\x98\x94/f&^\xc0\xe8\xf8\xc9\x073sC@\xfe',47283,FS-265333,FED,FS-FIRESTAT,FS,USCAENF,0503,86,,,,,,,,,1992,8/22/1992,235,1400.0,Human,Missing data/not specified/undetermined,,8/22/1992,235.0,1528.0,0.1,A,38.9,-120.6,USFS,CA,,,
46970,b'\x00\x01\xad\x10\x00\x00\xf8\x80L\xda\x10!^\xc0\x18\x9b\xf1KwwC@\xf8\x80L\xda\x10!^\xc0\x18\x9b\xf1KwwC@|\x01\x00\x00\x00\xf8\x80L\xda\x10!^\xc0\x18\x9b\xf1KwwC@\xfe',47284,FS-265334,FED,FS-FIRESTAT,FS,USCAENF,0503,100,,,,,,,,,1992,9/4/1992,248,2101.0,Human,Equipment and vehicle use,,9/4/1992,248.0,2200.0,0.1,A,38.93333333,-120.51666667,USFS,CA,,,
46971,b'\x00\x01\xad\x10\x00\x00\x98\xa1\xfd\xb7\xee.^\xc0\xf0\x1c\x16LwwC@\x98\xa1\xfd\xb7\xee.^\xc0\xf0\x1c\x16LwwC@|\x01\x00\x00\x00\x98\xa1\xfd\xb7\xee.^\xc0\xf0\x1c\x16LwwC@\xfe',47285,FS-265335,FED,FS-FIRESTAT,FS,USCAENF,0503,101,,,,,,,,,1992,9/5/1992,249,930.0,Human,Arson/incendiarism,,9/5/1992,249.0,1000.0,0.1,A,38.93333333,-120.73333333,USFS,CA,,,
46972,b'\x00\x01\xad\x10\x00\x00\xb4\x07\xe5s\xaa\x1a^\xc0\xd0/\xe8\\\x88\x88C@\xb4\x07\xe5s\xaa\x1a^\xc0\xd0/\xe8\\\x88\x88C@|\x01\x00\x00\x00\xb4\x07\xe5s\xaa\x1a^\xc0\xd0/\xe8\\\x88\x88C@\xfe',47286,FS-265336,FED,FS-FIRESTAT,FS,USCAENF,0503,114,,,,,,,,,1992,9/15/1992,259,1330.0,Human,Recreation and ceremony,,9/15/1992,259.0,1400.0,0.1,A,39.06666667,-120.41666667,USFS,CA,,,
46973,b'\x00\x01\xad\x10\x00\x00dn\xca\x84\xbb+^\xc00z\x92\xd4\xff\x7fC@dn\xca\x84\xbb+^\xc00z\x92\xd4\xff\x7fC@|\x01\x00\x00\x00dn\xca\x84\xbb+^\xc00z\x92\xd4\xff\x7fC@\xfe',47287,FS-265337,FED,FS-FIRESTAT,FS,USCAENF,0503,116,,,,,,,,,1992,9/18/1992,262,300.0,Natural,Natural,,9/18/1992,262.0,1300.0,2.0,B,39.0,-120.68333333,USFS,CA,,,
46974,b'\x00\x01\xad\x10\x00\x00\x80Mk\rD$^\xc0\x88%\xa4\xf6!\x82C@\x80Mk\rD$^\xc0\x88%\xa4\xf6!\x82C@|\x01\x00\x00\x00\x80Mk\rD$^\xc0\x88%\xa4\xf6!\x82C@\xfe',47288,FS-265338,FED,FS-FIRESTAT,FS,USCAENF,0503,128,,,,,,,,,1992,10/2/1992,276,600.0,Natural,Natural,,10/2/1992,276.0,900.0,0.1,A,39.01666667,-120.56666667,USFS,CA,,,
46975,b'\x00\x01\xad\x10\x00\x00\xbc\xa6N\xda\x10!^\xc0\x80\x15\xe2)UuC@\xbc\xa6N\xda\x10!^\xc0\x80\x15\xe2)UuC@|\x01\x00\x00\x00\xbc\xa6N\xda\x10!^\xc0\x80\x15\xe2)UuC@\xfe',47289,FS-265339,FED,FS-FIRESTAT,FS,USCAENF,0503,133,,,,,,,,,1992,10/2/1992,276,1510.0,Natural,Natural,,10/2/1992,276.0,1600.0,0.1,A,38.91666667,-120.51666667,USFS,CA,,,
46976,b'\x00\x01\xad\x10\x00\x00\xd4wb\xfc2#^\xc0@1\x1fn\x99yC@\xd4wb\xfc2#^\xc0@1\x1fn\x99yC@|\x01\x00\x00\x00\xd4wb\xfc2#^\xc0@1\x1fn\x99yC@\xfe',47290,FS-265340,FED,FS-FIRESTAT,FS,USCAENF,0503,134,,,,,,,,,1992,10/2/1992,276,1445.0,Natural,Natural,,10/2/1992,276.0,1600.0,0.1,A,38.95,-120.55,STATE OR PRIVATE,CA,,,
46977,b'\x00\x01\xad\x10\x00\x00\xa0D/\xc9\xff\x1f^\xc0\xc0h\x99\xf6!\x82C@\xa0D/\xc9\xff\x1f^\xc0\xc0h\x99\xf6!\x82C@|\x01\x00\x00\x00\xa0D/\xc9\xff\x1f^\xc0\xc0h\x99\xf6!\x82C@\xfe',47291,FS-265343,FED,FS-FIRESTAT,FS,USCAENF,0503,143,,,,,,,,,1992,10/12/1992,286,1500.0,Human,Recreation and ceremony,,10/12/1992,286.0,1800.0,0.1,A,39.01666667,-120.5,USFS,CA,,,
46978,"b'\x00\x01\xad\x10\x00\x000,!M\x0c%^\xc0\xb0\x10\xa7\x17e\x7fC@0,!M\x0c%^\xc0\xb0\x10\xa7\x17e\x7fC@|\x01\x00\x00\x000,!M\x0c%^\xc0\xb0\x10\xa7\x17e\x7fC@\xfe'",47292,FS-265344,FED,FS-FIRESTAT,FS,USCAENF,0503,144,,,RAMSEY,,,,,,1992,10/13/1992,287,1625.0,Human,Arson/incendiarism,,10/13/1992,287.0,1910.0,2.0,B,38.99527778,-120.57888889,USFS,CA,,,
46979,b'\x00\x01\xad\x10\x00\x00H\x18\x03t\xaa\x12^\xc0\xc0\xe7O\xd4\xff\x7fC@H\x18\x03t\xaa\x12^\xc0\xc0\xe7O\xd4\xff\x7fC@|\x01\x00\x00\x00H\x18\x03t\xaa\x12^\xc0\xc0\xe7O\xd4\xff\x7fC@\xfe',47293,FS-265345,FED,FS-FIRESTAT,FS,USCAENF,0503,5,,,LOON,,,,,,1992,5/6/1992,127,1318.0,Human,Debris and open burning,,5/6/1992,127.0,1845.0,0.1,A,39.0,-120.29166667,USFS,CA,,,
46980,b'\x00\x01\xad\x10\x00\x00lE\x9d\xe4\xe7\x1c^\xc0 \xa2n`%oC@lE\x9d\xe4\xe7\x1c^\xc0 \xa2n`%oC@|\x01\x00\x00\x00lE\x9d\xe4\xe7\x1c^\xc0 \xa2n`%oC@\xfe',47294,FS-265346,FED,FS-FIRESTAT,FS,USCAENF,0503,7,,,,,,,,,1992,5/9/1992,130,1700.0,Natural,Natural,,5/10/1992,131.0,1200.0,2.5,B,38.86833333,-120.45166667,USFS,CA,,,
46981,"b'\x00\x01\xad\x10\x00\x00POY,\xc9\x17^\xc0@\xe4v\x9a\x92oC@POY,\xc9\x17^\xc0@\xe4v\x9a\x92oC@|\x01\x00\x00\x00POY,\xc9\x17^\xc0@\xe4v\x9a\x92oC@\xfe'",47295,FS-265349,FED,FS-FIRESTAT,FS,USCAENF,0503,11,,,,,,,,,1992,5/25/1992,146,2100.0,Human,Recreation and ceremony,,5/26/1992,147.0,1035.0,0.1,A,38.87166667,-120.37166667,USFS,CA,,,
46982,b'\x00\x01\xad\x10\x00\x00\xcckh\xda\x10\x19^\xc0\x90\x9c\x95\x1f~qC@\xcckh\xda\x10\x19^\xc0\x90\x9c\x95\x1f~qC@|\x01\x00\x00\x00\xcckh\xda\x10\x19^\xc0\x90\x9c\x95\x1f~qC@\xfe',47296,FS-265352,FED,FS-FIRESTAT,FS,USCAENF,0503,22,,,,,,,,,1992,6/9/1992,161,1532.0,Human,Recreation and ceremony,,6/9/1992,161.0,1600.0,0.1,A,38.88666667,-120.39166667,USFS,CA,,,
46983,b'\x00\x01\xad\x10\x00\x00\x94\xa3\x90\xfc2\x13^\xc0\x00?\xcfKwwC@\x94\xa3\x90\xfc2\x13^\xc0\x00?\xcfKwwC@|\x01\x00\x00\x00\x94\xa3\x90\xfc2\x13^\xc0\x00?\xcfKwwC@\xfe',47297,FS-265354,FED,FS-FIRESTAT,FS,USCAENF,0503,24,,,,,,,,,1992,6/12/1992,164,1700.0,Human,Missing data/not specified/undetermined,,6/12/1992,164.0,2200.0,0.1,A,38.93333333,-120.3,USFS,CA,,,
46984,b'\x00\x01\xad\x10\x00\x00\xc8\x89\x1b\\_\x14^\xc0\x884\xe6\xbfQxC@\xc8\x89\x1b\\_\x14^\xc0\x884\xe6\xbfQxC@|\x01\x00\x00\x00\xc8\x89\x1b\\_\x14^\xc0\x884\xe6\xbfQxC@\xfe',47298,FS-265358,FED,FS-FIRESTAT,FS,USCAENF,0503,38,,,,,,,,,1992,6/24/1992,176,1600.0,Natural,Natural,,6/24/1992,176.0,2000.0,0.1,A,38.94,-120.31833333,USFS,CA,,,
46985,b'\x00\x01\xad\x10\x00\x00 \x94\xfbs\xaa\x1a^\xc0P\xe8\xab\x073sC@ \x94\xfbs\xaa\x1a^\xc0P\xe8\xab\x073sC@|\x01\x00\x00\x00 \x94\xfbs\xaa\x1a^\xc0P\xe8\xab\x073sC@\xfe',47299,FS-265360,FED,FS-FIRESTAT,FS,USCAENF,0503,40,,,,,,,,,1992,6/24/1992,176,1600.0,Natural,Natural,,6/24/1992,176.0,1930.0,0.1,A,38.9,-120.41666667,STATE OR PRIVATE,CA,,,
46986,b'\x00\x01\xad\x10\x00\x00\x18]\xa5\xbb\x8b\x15^\xc0\x98\xbb\x99\xb5z\x84C@\x18]\xa5\xbb\x8b\x15^\xc0\x98\xbb\x99\xb5z\x84C@|\x01\x00\x00\x00\x18]\xa5\xbb\x8b\x15^\xc0\x98\xbb\x99\xb5z\x84C@\xfe',47300,FS-265362,FED,FS-FIRESTAT,FS,USCAENF,0503,45,,,,,,,,,1992,6/24/1992,176,1600.0,Natural,Natural,,6/25/1992,177.0,1630.0,0.1,A,39.035,-120.33666667,USFS,CA,,,
46987,b'\x00\x01\xad\x10\x00\x00\\\x94\r\\_\x14^\xc0\x80\xad\x9f\x8c\x1e\x85C@\\\x94\r\\_\x14^\xc0\x80\xad\x9f\x8c\x1e\x85C@|\x01\x00\x00\x00\\\x94\r\\_\x14^\xc0\x80\xad\x9f\x8c\x1e\x85C@\xfe',47301,FS-265366,FED,FS-FIRESTAT,FS,USCAENF,0503,54,,,,,,,,,1992,6/24/1992,176,1630.0,Natural,Natural,,6/25/1992,177.0,2000.0,0.1,A,39.04,-120.31833333,USFS,CA,,,
46988,"b'\x00\x01\xad\x10\x00\x00\xd8\xc7\xee(,\x19^\xc0\x08T\xd9\xc6\x8beC@\xd8\xc7\xee(,\x19^\xc0\x08T\xd9\xc6\x8beC@|\x01\x00\x00\x00\xd8\xc7\xee(,\x19^\xc0\x08T\xd9\xc6\x8beC@\xfe'",47302,FS-265367,FED,FS-FIRESTAT,FS,USCAENF,0503,58,,,,,,,,,1992,7/9/1992,191,1115.0,Human,Smoking,,7/9/1992,191.0,1120.0,0.1,A,38.79333333,-120.39333333,STATE OR PRIVATE,CA,,,
46989,b'\x00\x01\xad\x10\x00\x008\xb8\xe3i\xd3\x0e^\xc0`\xb2B\x15\xa7mC@8\xb8\xe3i\xd3\x0e^\xc0`\xb2B\x15\xa7mC@|\x01\x00\x00\x008\xb8\xe3i\xd3\x0e^\xc0`\xb2B\x15\xa7mC@\xfe',47303,FS-265375,FED,FS-FIRESTAT,FS,USCAENF,0503,70,,,,,,,,,1992,8/5/1992,218,1001.0,Human,Equipment and vehicle use,,8/5/1992,218.0,1040.0,0.1,A,38.85666667,-120.23166667,USFS,CA,,,
46990,b'\x00\x01\xad\x10\x00\x00\x046\xa4\rD\x14^\xc0(\xdf\xc1)UuC@\x046\xa4\rD\x14^\xc0(\xdf\xc1)UuC@|\x01\x00\x00\x00\x046\xa4\rD\x14^\xc0(\xdf\xc1)UuC@\xfe',47304,FS-265377,FED,FS-FIRESTAT,FS,USCAENF,0503,75,,,,,,,,,1992,8/10/1992,223,1840.0,Human,Recreation and ceremony,,8/10/1992,223.0,2200.0,0.2,A,38.91666667,-120.31666667,USFS,CA,,,
46991,b'\x00\x01\xad\x10\x00\x008\x14\xce\x06\n\x17^\xc0\x98\x99MxpmC@8\x14\xce\x06\n\x17^\xc0\x98\x99MxpmC@|\x01\x00\x00\x008\x14\xce\x06\n\x17^\xc0\x98\x99MxpmC@\xfe',47305,FS-265379,FED,FS-FIRESTAT,FS,USCAENF,0503,76,,,,,,,,,1992,8/11/1992,224,1000.0,Human,Recreation and ceremony,,8/11/1992,224.0,1330.0,0.1,A,38.855,-120.36,USFS,CA,,,
46992,b'\x00\x01\xad\x10\x00\x00X\xbc\x85\x99i\x13^\xc0\x10\xf6[\xe5\x10\x81C@X\xbc\x85\x99i\x13^\xc0\x10\xf6[\xe5\x10\x81C@|\x01\x00\x00\x00X\xbc\x85\x99i\x13^\xc0\x10\xf6[\xe5\x10\x81C@\xfe',47306,FS-265381,FED,FS-FIRESTAT,FS,USCAENF,0503,81,,,,,,,,,1992,8/17/1992,230,1230.0,Human,Missing data/not specified/undetermined,,8/17/1992,230.0,1530.0,0.1,A,39.00833333,-120.30333333,USFS,CA,,,
46993,b'\x00\x01\xad\x10\x00\x00Xi\xe0\xb4Q\x10^\xc0\x98!I\x0em\x80C@Xi\xe0\xb4Q\x10^\xc0\x98!I\x0em\x80C@|\x01\x00\x00\x00Xi\xe0\xb4Q\x10^\xc0\x98!I\x0em\x80C@\xfe',47307,FS-265384,FED,FS-FIRESTAT,FS,USCAENF,0503,83,,,,,,,,,1992,8/18/1992,231,1201.0,Natural,Natural,,8/18/1992,231.0,1400.0,0.1,A,39.00333333,-120.255,USFS,CA,,,
